ID,Session,ID_title,Date_x,Time,Online_x,Age,DG_DataRows,DG_Coins_Kept,DG_Coins_Given,DG_RT,DOB,Online_Test_Group,OS,UG_DataRows,UG_Accept,UG_Offer_Accept,UG_Coins_Given,UG_Coins_Kept,UG_Decision_RT,UG_RT,UG_Attempts,DG_UG_Diff,DG_UG_RT_Diff,Score,UG_Total_RT,it_P6,lr_P6,eg_P6,w_P6,st_P6,repst_P6,it,lr,eg,w_lo,w_hi,st,repst,w_diff,tot_delay,tot_delay_perc,twodelays,fourdelays,sixdelays,tot_hiconf,tot_loconf,perc_hiconf_delay,perc_loconf_delay,hi_lo_conf_del_diff,AvgRT,RT_STD,AvgRT_3SD,AvgdelayRT,AvgdelayRT_3SD,AvgimmRT,AvgimmRT_3SD,imm_del_RT_Diff,imm_del_RT_3SD_Diff,Avg_hiconfRT,Avg_hiconfRT_3SD,Avg_loconfRT,Avg_loconfRT_3SD,hi_lo_conf_RT_Diff,hi_lo_conf_RT_3SD_Diff,avg_del_prob,avg_indiff,total_randb,randtype,auc_prob,auc_indiff,auc_indiff_all,auc_tot_val,corr_r_pob,corr_int_pob,corr_r_indiff_all,corr_int_indiff_all,corr_r_tot_val,corr_int_tot_val,Exp_delay_trials,Exp_delay_avg_rating,Exp_delay_unique_ratings,Exp_delay_auc,Exp_reward_trials,Exp_reward_avg_rating,Exp_reward_unique_ratings,Exp_reward_auc,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Training_Start,Training_End,Gender,Group,Online_y,Date_y,Age_Frac,Age_YrsMths,Train_ID,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Training_Version,Group_Name,Train_Coef,SES,ComboEdu,ComboEmploy,Age_YM,Raw_Vocab,T_Vocab,Raw_Matrix,T_Matrix,T_ScoreSum,FSIQ-2,Perc_Rank,Age_Frac_Imp,corsi_max_wm_t,totalsessions,trainingslope,PBI_t,cf_switchrt_t,cogflex_t,REzssrtnr_t,REflankerswitch_t,REflankerinh_t,stroop_t,dprimeONEBACK_t,dprimeTWOBACK_t,english_scores,maths_scores,total_scores,time
43,0,43,13/08/2019,13:31,0,7,6,4,2,3.5095,,,WindowsLaptop,7,No,0,3,3,9.866,3.768857143,,1,0.259357143,strat_inc,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1277.333333,1185.348646,1055.176471,,,1277.333333,1055.176471,,,1046.888889,1046.888889,1507.777778,1064.5,460.8888889,17.61111111,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,0,1,0,4,10,1,3,0,-5,1,0,5,1,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,13/08/2019,7.9,"7,10",51,6,6,0,0,2,Control,-78.31253629,1,1,1,7.1,26,62,16,57,119,117,87,7.9000001,5,6,-78.312538,-0.079613939,382.78625,-0.53725803,-0.52607805,-0.24210583,-0.45595863,,0.92261904,0.54761904,130,,130,-121
43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,,,,51,6,6,0,0,2,Control,-78.31253629,1,1,1,,,,,,,,,7.9000001,,6,-78.312538,,,,,,,,,,130,,130,13
43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,,,,51,6,6,0,0,2,Control,-78.31253629,1,1,1,,,,,,,,,7.9000001,,6,-78.312538,,,,,,,,,,,,,
44,0,44,13/08/2019,11:53,0,9,6,3,3,2.122833333,,,WindowsLaptop,7,No,0,4,2,7.817,2.296428571,,1,0.173595238,gen_inc,,,,,,,,,,,,,,,,2,11.11111111,1,0,1,1,1,11.11111111,11.11111111,0,1278.5,2962.834717,593.7647059,6767.5,616,592.375,592.375,6175.125,23.625,445.4444444,445.4444444,2111.555556,760.625,1666.111111,315.1805556,0.111111111,0.25,1,2,0.333333333,,1.25,1.541666667,-0.095238095,0.444444444,0,0.25,-0.083333333,0.638888889,6,7.788333333,6,3.8965,4,7.1075,4,2.2155,-0.594,4.867333333,0.990018519,1.1665,-3.725,0.877781263,St. Bartholomew's,30/09/2019,18/11/2019,M,2,0,13/08/2019,9.494444444,"9,5",52,5,5,0,0,2,Control,-64.60448758,1,1,1,9.05,21,43,15,47,90,91,27,9.4944448,5,5,-64.604485,0.32601681,157.2782,1.2578511,,-0.49332526,-0.34826851,0.27630803,0.85119045,0.38095236,111,,111,-121
44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Bartholomew's,30/09/2019,18/11/2019,M,2,0,,,,52,5,5,0,0,2,Control,-64.60448758,1,1,1,,,,,,,,,9.4944448,,5,-64.604485,,,,,,,,,,108,,108,13
44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Bartholomew's,30/09/2019,18/11/2019,M,2,0,,,,52,5,5,0,0,2,Control,-64.60448758,1,1,1,,,,,,,,,9.4944448,,5,-64.604485,,,,,,,,,,,,,
45,0,45,16/08/2019,15:55,0,7,6,5,1,2.721833333,,,WindowsLaptop,7,Yes,1,3,3,13.976,4.740285714,,2,2.018452381,strat_inc,,0.522623881,0.492267581,0.438226469,0.706414797,0.557795345,-0.438328972,0.512892186,0.498119759,0.432532247,0.692891019,0.542117124,0.583874299,-0.452027835,-0.150773895,18,100,6,6,6,9,9,100,100,0,1690.833333,1857.012124,1690.833333,1690.833333,1690.833333,,,,,2266,2266,1115.666667,1115.666667,-1150.333333,-1150.333333,1,0.75,0,1,5,3.75,3.75,5,0,1,0,0.75,0,1,6,8.323333333,6,4.2825,4,7.5525,4,2.376,-0.383428571,4.665333333,0.278462268,1.1225,-3.06,0.820095661,William Hogarth,25/09/2019,13/11/2019,F,2,0,16/08/2019,7.033333333,"7,0",71,8,11,3,27.27272727,2,Control,7.216829838,1.25,1.5,1,7,28,71,20,70,141,135,99,7.0333333,5,11,7.2168298,-0.048378523,-17.617676,-0.28151238,1.1276975,-1.3106481,,-0.64239627,0.95833331,0.5,,,,
45,1,45,20/12/2019,14:23,0,7,6,6,0,2.830666667,,,WindowsLaptop,7,Yes,1,3,3,6.195,3.049142857,,3,0.21847619,strat_inc,,0.640444695,0.637866433,0.540573,0.496263405,0.108238311,-0.095014238,0.643322999,0.644779939,0.535508723,0.472455247,0.523886744,0.108084459,-0.092647649,0.051431497,18,100,6,6,6,9,9,100,100,0,1707.777778,1680.798429,1707.777778,1707.777778,1707.777778,,,,,1773,1773,1642.555556,1642.555556,-130.4444444,-130.4444444,1,0.75,0,1,5,3.75,3.75,5,0,1,0,0.75,0,1,6,8.165,4,4.2485,4,6.46,4,1.988,0.774571429,0.454,0.421369046,-0.68,4.86,0.885145482,William Hogarth,25/09/2019,13/11/2019,F,2,0,13/12/2019,7.358333333,"7,4",71,8,11,3,27.27272727,2,Control,7.216829838,1.25,1.5,1,7.04,30,73,19,66,139,134,99,7.0333333,5,11,7.2168298,,731.01904,0.72565711,-1.2037156,0.48488712,-0.45095867,-0.46456823,0.95833331,0.64285713,,,,
45,2,45,02/12/2020,18:22,1,8,,4,2,6.604545,08-Dec,1,Linux x86_64,,Yes,1,,,3.53735,,1,,,,3.53735,,,,,,,,,,,,,,,15,83.33333333,6,5,4,9,6,100,66.66666667,-33.33333333,1.577193889,0.778209094,1.577193889,1.679330333,1.679330333,1.066511667,1.066511667,0.612818667,0.612818667,1.653655556,1.653655556,1.500732222,1.500732222,-0.152923333,-0.152923333,0.833333333,0.666666667,0,1,4.333333333,3.4375,3.4375,4.791666667,-0.123809524,1.266666667,-0.064285714,0.891666667,-0.042857143,1.094444444,6,9.303966569,6,4.684671981,4,8.984183417,4,2.697561985,-0.374443418,5.614518531,0.812405186,0.301742667,2.475470084,0.911854907,William Hogarth,25/09/2019,13/11/2019,F,2,0,02/12/2020,8.327777778,"8,3",71,8,11,3,27.27272727,2,Control,7.216829838,1.25,1.5,1,8.03,,,20,66,,,,7.0333333,7,11,7.2168298,-0.066201545,,,-0.26009747,,,,,,,,,
46,0,46,19/08/2019,14:00,0,10,6,5,1,3.021333333,,,WindowsLaptop,7,No,0,3,3,5.375,1.761,,2,-1.260333333,strat_inc,,0.767168531,0.566140713,0.455227171,0.614585676,0.346636043,-1.079188164,0.766117368,0.543537495,0.454812156,0.52775348,0.594314445,0.354446594,-1.077652164,0.066560965,0,0,0,0,0,0,0,0,0,0,1119.111111,2326.830889,574.9411765,,,1119.111111,574.9411765,,,509.7777778,509.7777778,1728.444444,648.25,1218.666667,138.4722222,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,0,1,0,4,10,1,3,0,-5,1,0,5,1,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,19/08/2019,8.811111111,"8,9",50,7,22,7,30.43478261,2,Control,-1.775282573,1,1,1,8.09,28,59,13,46,105,104,63,8.8111115,5,22,-1.7752826,0.53315222,448.28748,-0.2758123,0.40076315,0.034590207,0.71212262,0.37023714,0.95833331,0.41666666,104,,104,-121
46,1,46,23/11/2019,15:14,0,9,6,5,1,1.325166667,,,WindowsLaptop,7,No,0,3,3,5.787,1.945,,2,0.619833333,strat_inc,,0.804047077,0.643875613,0.540208242,0.324101852,0.289478365,1.882910677,0.8099664,0.686074874,0.502733718,0.303066311,0.508038791,0.275115473,1.877760018,0.20497248,0,0,0,0,0,0,0,0,0,0,518.3333333,537.0624895,402.5294118,,,518.3333333,402.5294118,,,420,420,616.6666667,382.875,196.6666667,-37.125,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,6.666666667,2,3.5,4,0,1,0,-2.285714286,9.666666667,0.685714286,0,-5,1,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,23/11/2019,9.072222222,"9,0",50,7,22,7,30.43478261,2,Control,-1.775282573,1,1,1,9,23,48,20,59,107,106,68,8.8111115,4,22,-1.7752826,-0.41347599,328.66669,0.16128631,2.6103024,0.28808707,0.5057565,0.74302757,0.75,0.059523813,113,,113,13
46,2,46,29/11/2020,13:08,1,10,,5,1,5.124415,10-Oct,1,Win32,,No,0,,,2.16689,,1,,,,2.16689,,,,,,,,,,,,,,,9,50,5,2,2,5,4,55.55555556,44.44444444,-11.11111111,1.199078889,0.591418246,1.199078889,1.369417222,1.369417222,1.028740556,1.028740556,0.340676667,0.340676667,1.081353333,1.081353333,1.316804444,1.316804444,0.235451111,0.235451111,0.5,0.475,1,2,2.5,,2.35,3.875,-0.142857143,1,-0.084285714,0.77,-0.114285714,1.15,6,3.305025416,6,1.586681397,4,9.925157636,4,2.981247364,-0.756938857,0.954311416,0.864178035,-0.00647533,4.957534287,0.100003566,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,29/11/2020,10.08888889,"10,1",50,7,22,7,30.43478261,2,Control,-1.775282573,1,1,1,10.01,,,23,66,,,,8.8111115,,22,-1.7752826,-0.41506898,-55.593384,-0.96069282,0.17933902,,,,,,,,,
47,0,47,20/08/2019,13:18,0,9,6,3,3,2.855,,,WindowsLaptop,7,No,0,3,3,16.245,4.108,,0,1.253,fair,,,,,,,,,,,,,,,,14,77.77777778,6,6,2,7,7,77.77777778,77.77777778,0,2310.166667,1132.434039,2107.647059,2486.428571,2235.153846,1693.25,1693.25,793.1785714,541.9038462,1983.777778,1983.777778,2636.555556,2247,652.7777778,263.2222222,0.777777778,0.666666667,0,1,4,3.375,3.375,4.75,3.90E-18,0.777777778,8.03E-19,0.666666667,9.24E-19,0.944444444,6,6.883333333,6,3.4445,4,7.72,4,2.296,-0.808571429,4.713333333,0.972093878,0.673,-0.645,0.974774561,St. Bartholomew's,30/09/2019,18/11/2019,F,1,0,20/08/2019,9.558333333,"9,6",41,8,27,14,45.16129032,2,Experimental,-2.023230921,2.25,3.5,1,9.06,35,68,23,67,135,130,98,9.5583334,6,27,-2.023231,-0.73172206,174.39587,0.036229298,0.5824967,1.1422472,-0.053350206,-0.13826428,0.95833331,0.76190472,130,,130,-121
47,1,47,12/12/2019,13:18,0,9,6,3,3,1.530833333,,,WindowsLaptop,7,No,0,3,3,7.347,2.282285714,,0,0.751452381,fair,,,,,,,,,,,,,,,,7,38.88888889,3,2,2,4,3,44.44444444,33.33333333,-11.11111111,1176.222222,978.5668726,1176.222222,2159.857143,2159.857143,550.2727273,550.2727273,1609.584416,1609.584416,1121.333333,1121.333333,1231.111111,1231.111111,109.7777778,109.7777778,0.388888889,0.4375,0,1,1.833333333,2.125,2.125,2.875,-0.238095238,1.222222222,-0.117857143,0.85,-0.185714286,1.233333333,6,4.766666667,6,2.5105,4,2.5675,4,0.7895,0.012,-0.275333333,0.000146132,-0.1225,-1.82,0.660377358,St. Bartholomew's,30/09/2019,18/11/2019,F,1,0,12/12/2019,9.869444444,"9,10",41,8,27,14,45.16129032,2,Experimental,-2.023230921,2.25,3.5,1,9.01,,,,,,,,9.5583334,7,27,-2.023231,,,,1.8781471,,0.30255124,,,,130,121,125.5,13
47,2,47,06/12/2020,09:36,1,10,,3,3,4.054835,01-Oct,1,Win32,,No,0,,,7.20501,,1,,,,7.20501,,,,,,,,,,,,,,,9,50,4,3,2,6,3,66.66666667,33.33333333,-33.33333333,0.864466389,0.558363918,0.864466389,1.261762222,1.261762222,0.467170556,0.467170556,0.794591667,0.794591667,0.957861111,0.957861111,0.771071667,0.771071667,-0.186789444,-0.186789444,0.5,0.5,0,1,2.5,2.5,2.5,3.541666667,-0.238095238,1.333333333,-0.121428571,0.925,-0.176190476,1.311111111,6,6.237654627,6,3.143518695,4,5.615740705,4,1.633333312,-1.12751332,5.183951248,0.975840697,1.30092582,-5.888888394,0.967728079,St. Bartholomew's,30/09/2019,18/11/2019,F,1,0,06/12/2020,10.85277778,"10,10",41,8,27,14,45.16129032,2,Experimental,-2.023230921,2.25,3.5,1,10.01,,,24,70,,,,9.5583334,,27,-2.023231,0.46641904,84.27063,-0.4429405,0.77608031,,,,,,,,,
48,0,48,20/08/2019,18:01,0,8,6,6,0,1.535,,,WindowsLaptop,7,Yes,1,2,4,5.503,4.003428571,,2,2.468428571,strat_inc,,,,,,,,,,,,,,,,2,11.11111111,1,1,0,1,1,11.11111111,11.11111111,0,2173.444444,4133.174584,1221.823529,10114,1877,1180.875,1180.875,8933.125,696.125,1096.222222,1096.222222,3250.666667,1363.125,2154.444444,266.9027778,0.111111111,0.3125,0,1,0.333333333,1.4375,1.4375,1.583333333,-0.095238095,0.444444444,-0.053571429,0.5,-0.095238095,0.694444444,6,2.483333333,3,1.121,4,9.6175,4,2.8975,-1.698857143,3.429333333,0.682406224,0.1465,3.885,0.746415685,St. Mary's,27/09/2019,15/11/2019,M,2,0,20/08/2019,8.886111111,"8,10",61,7,20,3,14.28571429,2,Control,-6.659520109,2.5,3,2,8.1,28,59,12,44,103,102,55,8.8861113,5,20,-6.6595201,-0.40270922,555.09998,0.94681448,1.2744821,-1.0649741,-1.4284936,-0.44444433,0.83333331,0.059523813,,,,
48,1,48,19/11/2019,12:38,0,9,6,5,1,1.028,,,WindowsLaptop,7,Yes,1,2,4,10.369,2.709714286,,1,1.681714286,strat_inc,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,520.9444444,161.7341581,520.9444444,,,520.9444444,520.9444444,,,549.5555556,549.5555556,492.3333333,492.3333333,-57.22222222,-57.22222222,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,7.47,3,3.8895,4,0,1,0,-1.766857143,8.654,0.705483391,0,-5,1,St. Mary's,27/09/2019,15/11/2019,M,2,0,18/11/2019,9.130555556,"9,1",61,7,20,3,14.28571429,2,Control,-6.659520109,2.5,3,2,9.01,29,58,17,53,111,109,73,8.8861113,5,20,-6.6595201,0.60630202,429.35675,1.0642022,-0.4715603,-0.17122781,-0.077800363,0.45428348,0.91666669,0.54761904,,,,
48,2,48,04/12/2020,16:19,1,10,,3,3,3.48569,10-Oct,1,MacIntel,,No,0,,,2.61978,,1,,,,2.61978,,,,,,,,,,,,,,,17,94.44444444,6,6,5,9,8,100,88.88888889,-11.11111111,2.016025,3.32386914,1.281695,1.952551765,1.168359063,3.09507,3.09507,-1.142518235,-1.926710937,0.981436111,0.981436111,3.050613889,1.61948625,2.069177778,0.638050139,0.944444444,0.729166667,0,1,4.833333333,3.6875,3.6875,4.958333333,-0.047619048,1.111111111,-0.017857143,0.791666667,-0.011904762,1.027777778,6,8.079529562,6,4.102690972,4,7.307644314,4,2.22772895,-0.8979115,6.222219811,0.892559994,0.97236509,-2.554181134,0.965612169,St. Mary's,27/09/2019,15/11/2019,M,2,0,24/11/2020,10.14722222,"10,1",61,7,20,3,14.28571429,2,Control,-6.659520109,2.5,3,2,10.01,,,15,46,,,,8.8861113,6,20,-6.6595201,0.02373684,172.0304,0.38732547,-0.8030324,,,,,,,,,
49,0,49,21/08/2019,17:15,0,7,12,4,2,2.9195,,,WindowsLaptop,7,Yes,1,3,3,11.653,3.445142857,,1,0.525642857,strat_inc,,0.863567547,0.60355177,0.516687982,0.468818677,-0.061405632,0.350817911,0.984611521,0.656545156,0.493263934,0.304442209,0.679020914,-0.071888337,0.318256223,0.374578705,0,0,0,0,0,0,0,0,0,0,924.5555556,805.3783343,775.7058824,,,924.5555556,775.7058824,,,1089,793.25,760.1111111,760.1111111,-328.8888889,-33.13888889,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,0.115,3,0.0395,4,10,1,3,0.092857143,-5.21,0.541319667,0,5,1,St. Bartholomew's,30/09/2019,18/11/2019,M,2,0,21/08/2019,7.308333333,"7,3",47,6,6,0,0,2,Control,-73.71726692,2,2.5,1.5,7.03,22,58,8,45,103,102,55,7.3083334,4,6,-73.71727,0.73062432,684.13196,1.2113533,-1.7618663,-0.76545191,,0.51650989,0.76190472,0.29761904,,,,
49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Bartholomew's,30/09/2019,18/11/2019,M,2,0,,,,47,6,6,0,0,2,Control,-73.71726692,2,2.5,1.5,,,,,,,,,7.3083334,,6,-73.71727,,,,,,,,,,,,,
49,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Bartholomew's,30/09/2019,18/11/2019,M,2,0,,,,47,6,6,0,0,2,Control,-73.71726692,2,2.5,1.5,,,,,,,,,7.3083334,,6,-73.71727,,,,,,,,,,,,,
50,0,50,20/08/2019,13:02,0,6,6,6,0,5.283,,,WindowsLaptop,7,No,0,3,3,7.744,4.234142857,,3,-1.048857143,strat_inc,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,941.9444444,348.0766434,941.9444444,,,941.9444444,941.9444444,,,973.4444444,973.4444444,910.4444444,910.4444444,-63,-63,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,1.666666667,2,1,4,10,1,3,0.857142857,-6.333333333,0.154285714,0,5,1,St. Bartholomew's,30/09/2019,18/11/2019,F,1,0,20/08/2019,6.680555556,"6,8",40,7,25,9,32.14285714,2,Experimental,-8.861868889,2.25,3.5,1,6.08,27,72,14,59,131,127,97,6.6805553,5,25,-8.8618689,0.67888451,544.91174,0.16468063,-1.3075324,-0.44130373,-0.057122458,0.22401065,0.80952382,0.38095236,,,,
50,1,50,12/12/2019,12:59,0,6,6,4,2,1.214833333,,,WindowsLaptop,7,No,0,3,3,4.006,2.043857143,,1,0.82902381,strat_inc,,,,,,,,,,,,,,,,3,16.66666667,1,1,1,2,1,22.22222222,11.11111111,-11.11111111,1021.333333,940.148111,829.7058824,1983.333333,835.5,828.9333333,828.9333333,1154.4,6.566666667,953.2222222,953.2222222,1089.444444,690.75,136.2222222,-262.4722222,0.166666667,0.333333333,0,1,0.5,1.5,1.5,1.625,-0.142857143,0.666666667,-0.071428571,0.583333333,-0.107142857,0.75,6,8.631666667,4,4.5285,4,2.9625,4,0.97,-0.874571429,6.692666667,0.458236708,-0.6905,1.415,0.775289184,St. Bartholomew's,30/09/2019,18/11/2019,F,1,0,12/12/2019,6.991666667,"6,11",40,7,25,9,32.14285714,2,Experimental,-8.861868889,2.25,3.5,1,6.11,,,,,,,,6.6805553,5,25,-8.8618689,,,,-0.23318417,,0.066726826,,,,,,,
50,2,50,06/12/2020,09:26,1,8,,4,2,6.1237,12-Dec,1,Win32,,No,0,,,5.585725,,1,,,,5.585725,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.796958056,0.578948801,0.675085,,,0.796958056,0.675085,,,0.738742778,0.738742778,0.855173333,0.60347,0.116430555,-0.135272778,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,1.470470669,5,0.633033134,4,9.938438897,3,2.978979107,-0.981553,-0.094093831,0.80291314,0.003903996,4.918918919,0.042093625,St. Bartholomew's,30/09/2019,18/11/2019,F,1,0,06/12/2020,7.975,"7,11",40,7,25,9,32.14285714,2,Experimental,-8.861868889,2.25,3.5,1,7.011,,,12,53,,,,6.6805553,5,25,-8.8618689,-0.6021564,129.63281,0.44697499,1.3047246,,,,,,,,,
51,0,51,21/08/2019,16:49,0,9,6,4,2,3.071166667,,,WindowsLaptop,7,No,0,3,3,6.092,2.138285714,,1,-0.932880952,strat_inc,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,458.8333333,555.2167833,334.5294118,,,458.8333333,334.5294118,,,340.8888889,340.8888889,576.7777778,327.375,235.8888889,-13.51388889,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,0.028333333,2,0.0085,4,10,1,3,0.024285714,-5.056666667,0.428571429,0,5,1,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,21/08/2019,9.236111111,"9,2",48,5,5,0,0,2,Control,-82.22801566,2,2.5,1.5,9.02,30,60,22,65,125,122,94,9.2361107,5,5,-82.228012,-0.074807152,295.98889,-0.24723387,0.20085622,-0.42893428,-0.3490825,-0.42291638,0.84523809,0.63095242,130,,130,-121
51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,,,,48,5,5,0,0,2,Control,-82.22801566,2,2.5,1.5,,,,,,,,,9.2361107,,5,-82.228012,,,,,,,,,,123,,123,13
51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Bartholomew's,30/09/2019,18/11/2019,F,2,0,,,,48,5,5,0,0,2,Control,-82.22801566,2,2.5,1.5,,,,,,,,,9.2361107,,5,-82.228012,,,,,,,,,,,,,
52,0,52,27/08/2019,13:31,0,10,6,3,3,1.671833333,,,WindowsLaptop,7,No,0,3,3,14.098,4.130285714,,0,2.458452381,fair,,,,,,,,,,,,,,,,12,66.66666667,4,4,4,8,4,88.88888889,44.44444444,-44.44444444,2200.5,1323.449737,1965.058824,2454.166667,2113.363636,1693.166667,1693.166667,761,420.1969697,2164.444444,2164.444444,2236.555556,1740.75,72.11111111,-423.6944444,0.666666667,0.59375,2,2,3.5,,3.0625,4.125,-0.152380952,1.2,-0.073214286,0.85,-0.097619048,1.133333333,6,6.645,6,3.34,4,7.1775,4,2.135,-0.582,3.682,0.979140891,0.7745,-1.695,0.970861227,St. Monica's,25/09/2019,13/11/2019,F,1,2,27/08/2019,10.28055556,"10,3",63,8,28,1,3.225806452,2,Experimental,-2.413426008,1.25,1.5,1,10.03,30,55,14,44,99,99,50,10.280556,5,28,-2.4134259,0.59593433,190.55554,0.062970117,,,,0.53812802,0.95833331,0.13095239,,,,
52,1,52,13/08/2020,22:26,1,11,,4,2,10.039,05-Sep,2,Win32,,Yes,1,,,1.571,,2,,,,31.778,,,,,,,,,,,,,,,9,50,4,3,2,5,4,55.55555556,44.44444444,-11.11111111,2.593111111,1.026637738,2.593111111,2.575555556,2.575555556,2.610666667,2.610666667,-0.035111111,-0.035111111,2.388111111,2.388111111,2.798111111,2.798111111,0.41,0.41,0.5,0.5,2,2,2.666666667,,2.5625,3.833333333,-0.161904762,1.066666667,-0.085714286,0.8,-0.121428571,1.161111111,6,7.645399306,6,3.889973958,4,7.711588542,4,2.289713542,-0.741443452,5.240451389,0.846857672,0.754557292,-1.061197917,0.883914865,St. Monica's,25/09/2019,13/11/2019,F,1,2,13/08/2020,11.24166667,"11,2",63,8,28,1,3.225806452,2,Experimental,-2.413426008,1.25,1.5,1,11.02,,,19,53,73,77,6,10.280556,4,28,-2.4134259,-0.39183637,,,1.0310606,,,,,,,,,
52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Monica's,25/09/2019,13/11/2019,F,1,2,,,,63,8,28,1,3.225806452,2,Experimental,-2.413426008,1.25,1.5,1,,,,,,,,,10.280556,,28,-2.4134259,,,,,,,,,,,,,
53,0,53,27/08/2019,14:20,0,8,6,4,2,2.035333333,,,WindowsLaptop,7,No,0,3,3,3.817,1.881428571,,1,-0.153904762,strat_inc,,,,,,,,,,,,,,,,1,5.555555556,1,0,0,0,1,0,11.11111111,-44.44444444,995.1111111,1502.887608,661.5294118,6666,,661.5294118,661.5294118,6004.470588,,568.8888889,568.8888889,1421.333333,765.75,852.4444444,196.8611111,0.055555556,0.270833333,0,1,0.166666667,1.3125,1.3125,1.5,-0.047619048,0.222222222,-0.017857143,0.333333333,-0.071428571,0.583333333,6,5.088333333,6,2.6105,4,9.555,2,2.911,-1.640285714,5.829333333,0.941373923,0.267,3.22,0.6,William Hogarth,25/09/2019,13/11/2019,F,1,0,27/08/2019,8.686111111,"8,8",68,7,18,7,38.88888889,2,Experimental,-5.782615337,1.25,1.5,1,8.08,24,52,21,65,117,115,86,8.6861115,,18,-5.7826152,-0.43458927,326.22815,0.083406381,-0.39886457,0.19504836,0.16435665,-0.26036665,0.95833331,0.91666669,,,,
